q1,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_99,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_98,q3_99,q3_98_text,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q4_10,q4_11,q4_12,dv1_1,dv1_2,dv2_1,dv2_2,dv3_1,dv3_2,dv4_1,dv4_2,dv11_1,dv11_2,dv17_1,dv17_2,dv30_1,dv30_2,dv6_1,dv6_2,dv28_1,dv28_2,dv5_1,dv5_2,dv31_1,dv31_2,dv7_1,dv7_2,dv8_1,dv8_2,dv12_1,dv12_2,dv13_1,dv13_2,dv14_1,dv14_2,dv15_1,dv15_2,dv16_1,dv16_2,dv10_1,dv10_2,dv18_1,dv18_2,dv19_1,dv19_2,dv33_1,dv33_2,dv20_1,dv20_2,dv21_1,dv21_2,dv22_1,dv22_2,dv23_1,dv23_2,dv24_1,dv24_2,dv25_1,dv25_2,dv26_1,dv26_2,dv27_1,dv27_2,dv29_1,dv29_2,dv32_1,dv32_2,dv9_1,dv9_2,dv34_1,dv34_2,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_98,q5_98_text,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_99,q6_99_text,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_99,q7_99_text,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_99,q8_99_text,q9,q10,q11,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q13_10,q13_11,q13_12,q13_13,q13_14,q13_15,q13_16,q13_17,q13_18,q13_19,q13_99,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q14_7,q14_8,q14_9,q14_10,q14_11,q14_12,q14_13,q14_14,q14_15,q14_16,q14_17,q14_18,q14_19,q14_20,q15_1,q15_2,q15_3,q15_4,q16,q17,q18,q19,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_7_text,q20,q21_1,q21_2,q21_3,q21_4,q22,prolific_pid,test1,test2,test3,test4,test11,test17,test30,test6,test28,test5,test31,test7,test8,test12,test13,test14,test15,test16,test10,test18,test19,test33,test20,test21,test22,test23,test24,test25,test26,test27,test29,test32,test9,test34
2,1,1,1,1,1,1,1, , ,1, , ,1,1, ,1,1, , , , ,1,2,2,1,1,4,4,4,4,2,1,1, , , , ,3,5, , ,2,1, , ,3,1,3,1, , , , ,3,3, , , , ,3,4,3,4, , , , , , ,3,4, , , , , , , , ,4,5, , , , , , ,3,1,3,2, , ,3,4, , , , ,3,3, , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , ,1, , , , , , ,1, , , , , , , ,1,1, , , ,2, , , , , , , , , , , , , , ,4,6, , , ,4, , ,7,1,1978,2, , , , , , , , ,1, , ,1, ,48,592f1db78ad1ae0001937983, , ,3B, ,11F, ,30B,6D, , ,31A, , ,12F,13A, , , ,10D, , , , ,21C, , , ,25B,26E, ,29D, , ,34A
2,1,1, , ,1, , , ,1, , , , , ,1, ,1, , , , ,4,3,4,1,3,4,4,4,4,4,1,1, , , , ,2,3,2,3, , , , ,2,2, , ,1,1, , ,3,3, , ,3,3, , , , , , ,2,3, , , , , , , , ,1,1, , , , ,1,1, , , , ,4,5, , ,2,3,3,4, , , , ,3,3, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , ,1, , ,1, , , ,1, , , , , , , , , , , , ,2, , , , , , ,2, , , , , , , , , , , , , , , ,7,1,1984,1, , , , , , , , ,2, , , , ,15,6290c65ed46e5dce4f16bb92, , ,3F,4F, , ,30E, ,28F, ,31E, ,8E, , , ,15D, , , , ,33F, , ,22B, , ,25D, ,27E,29F, , ,34E
1,1,1,1,1,1,1, , , ,1, , , , ,1, ,1,1, , , ,1,4,1,2,4,4,4,4,3,2,1,1,2,3, , , , ,3,4, , , , ,2,2, , ,3,4, , ,2,3, , , , ,3,3, , ,1,4, , , , , , , , ,4,4, , , , ,4,4, , , , ,2,2, , , , ,2,2, , ,3,2, , ,3,4, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , ,3, , , , ,3, , , , , ,3, , , , , ,2, , ,7,1,1996,1, , , , , , , , ,2, , , , ,8,66f039ac59830d56cf9736b6,1C, , ,4C, , ,30C, ,28A, ,31F, , ,12C, ,14A, , , , ,19E, , ,21D, , ,24B, , ,27C, ,32A, ,34F
1,1,1,1,1,1,1,1, ,1, , , , , ,1, ,1,1, , , ,1,1,1,1,1,1,3,3,4,2,1,1, , ,5,5, , ,5,5, , , , ,5,5,5,5, , , , ,5,5, , ,5,4, , , , ,5,5, , , , ,5,5, , , , , , , , , , ,5,5,5,5, , , , ,5,5, , ,5,5, , , , ,5,3,1,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1, ,1, , ,1, ,1, , , , , ,1, , , ,4,3,3,4, ,5, , ,3, ,2, , , , , ,1, , , ,1, , , ,5,2,1980,2, , , , , , ,1,Do not eat pork,1, , , ,1,34,65d0b965045891ca868a35a2, ,2A, ,4A, , ,30B,6E, , ,31C, ,8A, , ,14A, , ,10C, , , , , ,22B,23A, , ,26E, ,29A, , ,34C
1,1, ,1,1,1,1,1, , , ,1,1,1,1,1, ,1,1, , , ,1,1,1,1,2,3,1,4,4,1,2,3,1,4, , , , , , ,5,5, , ,5,5, , ,5,5,1,1, , , , ,1,2, , , , ,1,1, , , , , , , , ,5,5, , , , , , ,5,2, , , , ,5,5, , ,5,5,4,3, , ,1,1, , , , , , , , , , , , , , , , , , , ,1,1, ,1, , , , , ,1,1, , , , , , , , , ,2,3, , , ,1, , , , , , , , , ,1, , , , , , , , , ,3, , , , , , , , , ,3, , , , , , , , ,2,3,3,1,1990,1, , , , ,1, , , ,2, , , , ,23,5cb62e9293342300017a72a1,1F, , , ,11C, ,30F, ,28A,5B, , ,8F, , ,14E, , , , ,19A, , , ,22A, , ,25E, ,27A,29E, ,9D, 
2,1,1,1,1,1,1,1, ,1, , ,1, , ,1, ,1,1, , , ,1,4,1,1,3,3,3,1,4,4,1,1, , , , ,5,5,5,5, , , , ,5,4, , ,5,5,5,5, , ,5,5, , , , ,5,5, , , , , , , , ,5,2, , , , ,5,5, , , , , , ,1,3, , ,5,4, , , , ,5,5,5,5, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,4, , ,5,1, , , , , , , ,1, , ,1, , , , , , , , ,4, , , , , , , ,4, , ,5, , , , , , , , ,1, , ,3,7,2,1983,2, , , , , , , , ,1, ,1,1, ,33,66706bf3288568808d36ff2c, , ,3A,4B, , ,30C, ,28E,5C, ,7B, , ,13C, , , , ,18F, , ,20A, , , ,24C, ,26A, , ,32C,9C, 
1,1,1,1,1,1,1,1, ,1,1, ,1, , ,1,1,1,1, , , ,1,4,1,1,4,4,4,4,4,4,4,1, , ,4,5, , , , ,4,5, , ,4,3, , ,5,5,5,4, , , , , , ,5,5,5,5, , , , , , ,5,5, , , , , , ,5,5, , , , , , ,5,5, , , , ,4,4,4,4, , , , ,5,5, , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , ,3,2, ,3, , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , ,2, , ,3,1,1979,1, , , , , , ,1,none,2, , , , ,14,67505c42a18c872bab88ed42, ,2D, , ,11F, ,30D, ,28C,5D, , , ,12E,13A, , , ,10E, , , ,20B, , , ,24F, , ,27B,29C, , ,34D
1,1,1,1,1,1,1, , ,1, , , ,1,1,1,1,1,1, , , ,1,4,1,1,4,4,3,4,4,3,1,1,2,2, , , , , , ,1,2, , ,2,1, , ,2,5, , ,2,1, , ,3,2, , , , , , , , ,3,2, , , , ,3,3, , ,3,3, , , , , , ,2,2, , ,1,2, , ,2,2, , , , ,1,2, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , , , ,1, , , , , ,1,1,1, , , , , , , , , , , ,4, , , , , , ,4,3, , , , , , , , , , , , , , ,7,1,1994,1, , , , , , , , ,2, , , , ,36,673cc0c935b49103f2be1e27,1D, , , ,11C, ,30D, ,28C, ,31B, ,8A, , , , ,16E, , ,19C, ,20F, , , ,24E, ,26F, ,29A, , ,34C
2,1,1,1,1,1,1, , ,1, , , , ,1,1, ,1, , , , ,3,2,2,2,4,4,4,4,4,4,3,1, , ,2,3, , , , ,4,4, , ,4,2,4,4, , , , ,4,3,2,2, , , , , , ,2,3, , , , , , , , ,4,4, , , , , , ,4,3,4,3, , , , ,4,2, , , , ,2,2, , ,3,4, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,1,1, ,1, , , ,1,1, , ,1,1, ,1, , , , , ,2,2, ,3, , , ,1,3, , ,3,3, ,2, , , , , , , , ,7,1,1990,2, , , , , , , , ,2, , , , ,29,5eb402bed161131f83db9ce4, ,2E, , ,11B, ,30A,6D, , ,31F,7C, , , ,14F, , , , ,19A, , , ,22A,23C, , ,26B, , ,32B, ,34F
1,1,1,1,1,1,1, , ,1, , , , , ,1, ,1, , , , ,1,4,1,1,4,4,4,4,4,4,4,1, , ,4,5, , ,4,5, , , , ,4,4,4,5, , , , ,4,4, , ,4,4, , ,4,4, , , , , , , , , , , , ,4,4,4,4, , , , ,4,4, , , , ,4,3, , , , ,4,4, , ,4,3, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , ,1,1, , , , , , , , , , , , , , , ,2, , ,2,1, , , , , , , , ,99,1,1971,1, , , , , , , , ,2, , , , ,14,5d4732b70829350016ed314d, ,2E, ,4F, , ,30E,6A, , ,31A, ,8B, ,13E, , , , , , ,33E,20E, , ,23B, , ,26D, , ,32F, ,34E
